1,Destination,Route,Towards,Notes,Walki
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:14
From,Kublis:Via Saas:(Landquart),231,Kublis:Serneus,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:17
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos 24 Dec - 11 Mar only.,12:31
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station:Serneus,Connection to Davos 24 Dec - 11 Mar only.,12:36
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:44
From,Kublis:Via Saas,231,Kublis:Serneus,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:47
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,13:01
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station:Serneus,No,13:06
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:14
From,Kublis:Via Saas:(Landquart),231,Kublis:Serneus,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:17
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,13:31
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station:Serneus,No,13:36
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:44
From,Kublis:Via Saas:(Landquart),231,Kublis:Serneus,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:47
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,14:01
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station:Serneus,No,14:06
